,Composition,1-1-1 Reported Phase,Phase Separating Temperatures (Kelvin),Parse Error,Experimentally Reported
0,CuGeTe,Phase separation,[ nan  nan 298.],False,False
1,ScCrGa,Phase separation,[1073.],False,False
2,PuUZr,Phase separation,"[ nan  nan 973. 943. 820. 870. 930. 970. 973. 943. 933. 923. 913. 868.
 853. 823.]",False,False
3,AuSiBi,Phase separation,[nan],False,False
4,MgAlSb,Phase separation,[nan nan],False,False
5,DyReB,Phase separation,[1273.],False,False
6,HfMoRu,Phase separation,[1773. 1273.],False,False
7,CeMgZn,Phase separation,[ nan 573.],False,False
8,GdLiMg,Phase separation,[523.],False,False
9,HfZrTi,Phase separation,[ 973. 1123. 1473. 1873.],False,False
10,AgAlPb,Phase separation,[  nan 1273. 1143. 1143.],False,False
11,GeBiTe,Phase separation,[770. 570. 770. 570.],False,False
12,VCrB,Phase separation,[1673.],False,False
13,ZnAlSb,Phase separation,[873. 723.],False,False
14,ErGaSb,Phase separation,[1073.],False,False
15,AuGaAs,Phase separation,[298.],False,False
16,MgAgCd,Phase separation,[573. 473.],False,False
17,VCrW,Phase separation,[1273. 1273.],False,False
18,AgAsTe,Phase separation,[nan nan nan nan nan nan],False,False
19,LiMgSi,Phase separation,[ nan 473. 873. 673. 470.],False,False
20,ZrFeB,Phase separation,[1123.],False,False
21,ZnInPb,Phase separation,[877. 805. 714.],False,False
22,TlPbTe,Phase separation,[520.],False,False
23,CuSnS,Phase separation,[773.],False,False
24,ErCoB,Phase separation,[nan],False,False
25,CuBiS,Phase separation,[573. 473.],False,False
26,PdInSn,Phase separation,[nan],False,False
27,CeCoCu,Phase separation,[673. 673.],False,False
28,CuHgSn,Phase separation,[310.],False,False
29,CdTlTe,Phase separation,[ nan 300.],False,False
30,CeGdSi,Phase separation,[873.],False,False
31,HoCuB,Phase separation,[970.],False,False
32,YNiB,Phase separation,[970. 973.],False,False
33,AuCdTe,Phase separation,[ nan  nan 298. 773. 773. 298.],False,False
34,MoMnB,Phase separation,[1073.],False,False
35,CeMgSi,Phase separation,[nan],False,False
36,HfPdPt,Phase separation,[1273. 1273.],False,False
37,CdPbTe,Phase separation,[nan],False,False
38,LaCeSi,Phase separation,[nan],False,False
39,ScMoSi,Phase separation,[1070.],False,False
40,TiFeCo,Phase separation,[1173.],False,False
41,AuBiSb,Phase separation,[ nan 573. 493.  nan 573.  nan 493. 573. 493.],False,False
42,ZrZnSi,Phase separation,[873.],False,False
43,TiRuIr,Phase separation,[nan nan],False,False
44,AgSbTe,Phase separation,[673. 523.],False,False
45,LuCoB,Phase separation,[1070.],False,False
46,CuGaS,Phase separation,[773. 673.],False,False
47,TiTaAl,Phase separation,[1373. 1373.],False,False
48,CrMoW,Phase separation,[  nan 1673. 1373. 1573. 1273. 2500. 1573. 1573. 1273. 1573. 1273. 1873.],False,False
49,TiNbGe,Phase separation,[1170.],False,False
50,PrFeSb,Phase separation,[873. 773.],False,False
51,NdCrB,Phase separation,[1073.],False,False
52,TaReB,Phase separation,[1673.],False,False
53,NiCdTe,Phase separation,[  nan 1073.],False,False
54,HoVB,Phase separation,[1070.],False,False
55,DyBiTe,Phase separation,[nan],False,False
56,AgCdTe,Phase separation,[ nan 773. 573.],False,False
57,BeTiV,Phase separation,[1073.],False,False
58,CoSiGe,Phase separation,[1073.],False,False
59,YAlSb,Phase separation,[800.],False,False
60,ErFeSb,Phase separation,[773.],False,False
61,PtGaSb,Phase separation,[773.],False,False
62,AuInPb,Phase separation,[nan],False,False
63,WFeCo,Phase separation,[1473.],False,False
64,AuSiSn,Phase separation,[nan nan],False,False
65,HfFeGa,Phase separation,[1073. 1068.],False,False
66,WNiCu,Phase separation,[1873. 1773. 1753. 1673. 1573. 1473. 1373.],False,False
67,IrPdPt,Phase separation,[1673. 1673.],False,False
68,GaAsO,Phase separation,[ nan 298.],False,False
69,CeLuGe,Phase separation,[870.],False,False
71,TiTaNi,Phase separation,[1200.],False,False
72,CdHgSn,Phase separation,[293.],False,False
73,CoGaAs,Phase separation,[1073.  873.],False,False
74,UReB,Phase separation,[1073.],False,False
75,GdReB,Phase separation,[1273.],False,False
76,UZrNb,Phase separation,[nan nan],False,False
77,LaMnNi,Phase separation,[nan],False,False
78,ZnCdTe,Phase separation,[  nan 1500. 1450. 1420. 1380. 1300. 1200. 1100.   nan],False,False
79,CdSiTe,Phase separation,[nan],False,False
80,NdFeB,Phase separation,[ nan 298.],False,False
81,LaMnB,Phase separation,[nan],False,False
83,LaAgSi,Phase separation,[773.],False,False
