,Composition,Space Groups,Replicates,Error Code,Filename,Prototype
0,BiTeBr,"['SG CONFLICT', 'SG CONFLICT']",12,2,[['SG CONFLICT']],[['SG CONFLICT']]
1,NdPdP,['P63/mmc'],6,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode54285.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_37_CollCode710050.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_3.zip_CollCode710050.cif', 'sd_1710140.cif']]",[['BeZrSi']]
2,PrZnSn,['P63/mmc'],2,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_84_CollCode426466.cif']],[['YPtAs']]
3,NdIrP,['I41md'],2,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_12.zip_CollCode414517.cif', 'sd_1709973.cif']]",[['LaPtSi']]
4,ZrNI,"['PmmnS', 'R-3mH']",9,2,"[['COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_0.zip_CollCode36119.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode190381.cif']]","[['FeClO'], ['SmSI']]"
5,YbMgSn,['P-62m'],2,3,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_59_CollCode183538.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_10_CollCode54344.cif']]",[['ZrNiAl']]
6,CuZnAs,['F-43m'],2,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_14_CollCode150767.cif']],[[None]]
7,CeCoGa,['C12/m1'],4,1,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_15_CollCode429883.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_15_CollCode429882.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_15_CollCode429884.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_66_CollCode187960.cif', 'sd_1231760.cif']]","[['K2Ag4S3', 'CeCoAl', 'CeAlCo']]"
8,LiFeP,"['P4/nmmS', 'P4/nmmZ']",10,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_81_CollCode42327.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_7.zip_CollCode632441.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_13_CollCode632441.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_77_CollCode247248.cif']]","[['Cu2Sb'], ['PbClF']]"
9,YbAuGe,"['Imma', 'P63mc', 'Pnma']",3,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode85838.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_53_CollCode656877.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode85835.cif']]","[['KHg2'], ['LiGaGe'], ['AuCaGe']]"
10,RbAuO,['I4/mmm'],2,1,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_12.zip_CollCode409552.cif', 'sd_1904265.cif']]","[['KAgO', 'LiCuO']]"
11,PrPdSn,"['SG CONFLICT', 'SG CONFLICT']",3,2,[['SG CONFLICT']],[['SG CONFLICT']]
12,ScCoAl,['P63/mmc'],1,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_7_CollCode57630.cif', 'sd_1922032.cif']]",[['MgZn2']]
13,HoNiAl,"['P-62m', 'P63/mmc']",9,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_25_CollCode107223.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode198882.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode198883.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_76_CollCode608199.cif', 'sd_0458821.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_90_CollCode199633.cif', 'sd_0301845.cif']]","[['ZrNiAl'], ['MgZn2']]"
14,NaCdAs,"['SG CONFLICT', 'SG CONFLICT']",2,2,[['SG CONFLICT']],[['SG CONFLICT']]
15,ScPdSi,['Pnma'],4,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_7.zip_CollCode648814.cif', 'sd_1225996.cif']]",[['TiNiSi']]
16,LaOBr,['P4/nmmS'],8,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode202063.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_34_CollCode24612.cif', 'COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_1.zip_CollCode24612.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_7.zip_CollCode84336.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_66_CollCode84336.cif']]",[['PbClF']]
17,HfNiSn,"['SG CONFLICT', 'SG CONFLICT']",2,2,[['SG CONFLICT']],[['SG CONFLICT']]
18,YbNiAl,"['P-62m', 'P63/mmc']",4,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_77_CollCode608960.cif', 'sd_0540506.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_77_CollCode608958.cif', 'sd_0301851.cif']]","[['ZrNiAl'], ['MgZn2']]"
19,CoAsS,"['SG CONFLICT', 'SG CONFLICT']",30,2,[['SG CONFLICT']],[['SG CONFLICT']]
20,CePdIn,['P-62m'],4,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode602649.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_40_CollCode160860.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_33_CollCode157625.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_6_CollCode59883.cif', 'sd_0554438.cif']]",[['ZrNiAl']]
