,Composition,Space Groups,Replicates,Error Code,Filename,Prototype
0,BiTeBr,"['P-3m1', 'P3m1']",12,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_16_CollCode25728.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_5.zip_CollCode263110.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_43_CollCode263110.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_63_CollCode264198.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_40_CollCode672482.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode672482.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_47_CollCode673356.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode673356.cif']]","[['CdI2(hP3)', None, None], ['BiTeI']]"
1,NdPdP,['P63/mmc'],6,3,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode54285.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_37_CollCode710050.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_3.zip_CollCode710050.cif']]",[['BeZrSi']]
2,PrZnSn,['P63/mmc'],2,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_84_CollCode426466.cif']],[['YPtAs']]
3,NdIrP,['I41md'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_12.zip_CollCode414517.cif']],[['LaPtSi']]
4,ZrNI,"['PmmnS', 'R-3mH']",9,2,"[['COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_0.zip_CollCode36119.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode190381.cif']]","[['FeClO'], ['SmSI']]"
5,YbMgSn,['P-62m'],2,3,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_59_CollCode183538.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_10_CollCode54344.cif']]",[['ZrNiAl']]
6,CuZnAs,['F-43m'],2,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_14_CollCode150767.cif']],[[None]]
7,CeCoGa,['C12/m1'],4,1,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_15_CollCode429883.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_15_CollCode429882.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_15_CollCode429884.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_66_CollCode187960.cif']]","[['K2Ag4S3', 'CeAlCo', 'CeAlCo', 'CeAlCo']]"
8,LiFeP,"['P4/nmmS', 'P4/nmmZ']",10,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_81_CollCode42327.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_7.zip_CollCode632441.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_13_CollCode632441.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_77_CollCode247248.cif']]","[['Cu2Sb'], ['PbClF']]"
9,YbAuGe,"['Imma', 'P63mc', 'Pnma']",3,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode85838.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_53_CollCode656877.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode85835.cif']]","[['KHg2'], ['LiGaGe'], ['AuCaGe']]"
10,RbAuO,['I4/mmm'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_12.zip_CollCode409552.cif']],[['LiCuO']]
11,PrPdSn,"['P-62m', 'Pnma']",3,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_18_CollCode419193.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_10_CollCode54459.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_28_CollCode105652.cif']]","[['ZrNiAl'], ['TiNiSi']]"
12,ScCoAl,['P63/mmc'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_7_CollCode57630.cif']],[['MgZn2']]
13,HoNiAl,"['P-62m', 'P63/mmc']",9,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_25_CollCode107223.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode198882.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode198883.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_76_CollCode608199.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_90_CollCode199633.cif']]","[['ZrNiAl'], ['MgZn2']]"
14,NaCdAs,['Pnma'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_2.zip_CollCode9571.cif']],[['TiNiSi']]
15,ScPdSi,['Pnma'],4,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_7.zip_CollCode648814.cif']],[['TiNiSi']]
16,LaOBr,['P4/nmmS'],8,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode202063.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_34_CollCode24612.cif', 'COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_1.zip_CollCode24612.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_7.zip_CollCode84336.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_66_CollCode84336.cif']]",[['PbClF']]
17,HfNiSn,['F-43m'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_27_CollCode638731.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_24_CollCode104249.cif']]",[['MgAgAs']]
18,YbNiAl,"['P-62m', 'P63/mmc']",4,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_77_CollCode608960.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_77_CollCode608958.cif']]","[['ZrNiAl'], ['MgZn2']]"
19,CoAsS,"['P121/c1', 'P1211', 'P213', 'Pa-3', 'Pca21', 'Pnnm']",30,2,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_5.zip_CollCode44607.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_2.zip_CollCode36395.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_78_CollCode610107.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_3_CollCode53938.cif', 'COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_1.zip_CollCode53938.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_78_CollCode610106.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode24472.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_35_CollCode36341.cif', 'COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_1.zip_CollCode36341.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_22_CollCode24472.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_78_CollCode41758.cif', 'COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_1.zip_CollCode41857.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_51_CollCode69129.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_78_CollCode41857.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode69129.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_2.zip_CollCode43221.cif', 'COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_1.zip_CollCode31189.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_79_CollCode43221.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_34_CollCode31189.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_78_CollCode610101.cif']]","[['Ru(S,Se)2'], [None], ['NiSbS'], ['FeS2'], ['CoAsS'], ['Marcasite#FeS2(oP6)']]"
20,CePdIn,['P-62m'],4,3,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode602649.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_40_CollCode160860.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_33_CollCode157625.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_6_CollCode59883.cif']]",[['ZrNiAl']]
