,Composition,Space Groups,Replicates,Error Code,Filename,Prototype
0,YFeAl,['P63/mmc'],3,3,[['sd_0461247.cif']],[['MgZn2']]
1,MnCoP,['Pnma'],6,0,[['sd_0537015.cif']],[['TiNiSi']]
2,ScIrP,['P-62m'],1,3,[['sd_1718367.cif']],[['ZrNiAl']]
3,ZrRuSi,['P-62m'],2,3,[['sd_0537001.cif']],[['ZrNiAl']]
4,DyFeAl,['P63/mmc'],6,3,[['sd_1010574.cif']],[['MgZn2']]
5,KAuSe,['Cmcm'],2,0,[['sd_0303869.cif']],[['KAuS']]
6,EuAlGa,['Imma'],1,3,[['sd_0301918.cif']],[['KHg2']]
7,GdAlGe,"['Cmcm', 'I41/amd', 'I41md']",5,5,"[['sd_1406395.cif'], ['sd_1007752.cif'], ['sd_1406409.cif']]","[['YAlGe'], ['LaPtSi'], ['LaPtSi']]"
8,NbCoSn,"['F-43m', 'Fm-3m']",7,5,"[['sd_1010502.cif', 'sd_1834101.cif', 'sd_1013658.cif', 'sd_1013728.cif'], ['sd_1013727.cif']]","[['MgAgAs'], ['CaF2']]"
9,SmPdSi,['Pnma'],4,0,"[['sd_1008307.cif', 'sd_1102557.cif']]",[['AuYbGe']]
10,MgPdSb,['F-43m'],1,0,[['sd_0539776.cif']],[['MgAgAs']]
11,CrFeP,['Pnma'],4,0,[['sd_0301059.cif']],[['TiNiSi']]
12,CuSeS,['Pa-3'],1,3,[['sd_0307428.cif']],[['FeS2']]
13,TiMnAl,['P63/mmc'],1,3,[['sd_0300421.cif']],[['MgZn2']]
14,CuAsSe,"['Pbcn', 'Pnma']",2,2,"[['sd_0303504.cif'], ['sd_0549508.cif']]","[[None], ['CuAsSe']]"
15,MnPtSn,"['F-43m', 'Fm-3m']",7,5,"[['sd_0547318.cif', 'sd_0311098.cif', 'sd_0537442.cif', 'sd_0545715.cif', 'sd_0459338.cif'], ['sd_0314440.cif', 'sd_1939699.cif']]","[['MgAgAs'], ['MgAgAs']]"
16,PuNiAl,['P-62m'],1,3,[['sd_0300435.cif']],[['ZrNiAl']]
17,PrSO,"['I4/mmm', 'Pbcm']",3,2,"[['sd_1833262.cif'], ['sd_1715542.cif']]","[['LaSO'], ['LaSO']]"
18,LiAuSn,['P63/mmc'],1,3,[['sd_1200708.cif']],[['BeZrSi']]
19,LiPtIn,['P-6m2'],2,3,[['sd_0539789.cif']],[['LiBaSi']]
20,MnIrGe,['Pnma'],1,0,[['sd_1210533.cif']],[['TiNiSi']]
21,ThPtSn,['F-43m'],4,0,"[['sd_0300409.cif', 'sd_0537539.cif']]",[['MgAgAs']]
22,CePtIn,['P-62m'],4,3,[['sd_0540510.cif']],[['ZrNiAl']]
23,MnNiSi,['Pnma'],4,0,[['sd_1005838.cif']],[['TiNiSi']]
24,CrFeAs,['P-62m'],3,3,[['sd_0301071.cif']],[['ZrNiAl']]
25,ErIrGe,['Pnma'],2,0,"[['sd_1612448.cif', 'sd_0535312.cif']]",[['TiNiSi']]
26,AgTlSe,['Pnma'],4,0,"[['sd_0554954.cif', 'sd_1905576.cif']]",[['AgTlTe']]
27,LuNiAl,"['P-62m', 'P63/mmc']",7,5,"[['sd_0458808.cif'], ['sd_0301850.cif']]","[['ZrNiAl'], ['MgZn2']]"
28,CeNiAl,['P-62m'],8,3,[['sd_1929789.cif']],[['ZrNiAl']]
29,VCoGe,['Pnma'],1,0,[['sd_1006114.cif']],[['TiNiSi']]
30,PdPSe,['Pbcn'],3,0,[['sd_1402813.cif']],[['PdPS']]
31,TbNiAl,"['P-62m', 'P63/mmc']",11,5,"[['sd_0458820.cif'], ['sd_0301847.cif']]","[['ZrNiAl'], ['MgZn2']]"
32,RbAgO,"['I-4m2', 'I4/mmm']",2,2,"[['sd_1706415.cif'], ['sd_1705438.cif']]","[['KAgO'], ['KAgO']]"
33,DyPtSn,['P-62m'],2,3,[['sd_0458834.cif']],[['ZrNiAl']]
34,DyMnGa,"['Ima2', 'P-62m']",2,5,"[['sd_1005757.cif'], ['sd_0542893.cif']]","[['TiFeSi'], ['ZrNiAl']]"
35,LaSO,"['Cmce', 'I4/mmm', 'Pbcm']",4,2,"[['sd_1406334.cif'], ['sd_1833261.cif'], ['sd_1715541.cif']]","[['LaSO'], ['LaSO'], ['LaSO']]"
36,DyIrSi,['Pnma'],1,0,[['sd_1614950.cif']],[['TiNiSi']]
37,HfFeP,['Pnma'],2,0,[['sd_1602854.cif']],[['TiNiSi']]
38,YMnGe,['Pnma'],1,0,[['sd_1240890.cif']],[['TiNiSi']]
39,CoSbTe,['Pnnm'],2,3,[['sd_0540048.cif']],[['FeS2']]
40,MoCoB,['Pnma'],2,0,[['sd_1007587.cif']],[['TiNiSi']]
41,TmMnGe,"['P-62m', 'Pnma']",3,5,"[['sd_1622201.cif'], ['sd_1622212.cif', 'sd_1611760.cif']]","[['ZrNiAl'], ['TiNiSi']]"
42,TmPtAs,['P63/mmc'],1,3,[['sd_1407016.cif']],[['YPtAs']]
43,LuNiSi,['Pnma'],2,0,[['sd_1140814.cif']],[['TiNiSi']]
44,NaCdAs,"['Pna21', 'Pnma']",2,2,"[['sd_1713897.cif'], ['sd_1713971.cif']]","[['TiNiSi'], ['TiNiSi']]"
45,CrPdAs,['P-62m'],2,3,[['sd_0376945.cif']],[['ZrNiAl']]
46,NbCrP,['Pnma'],1,0,[['sd_0461657.cif']],[['TiNiSi']]
47,FeZnSb,['F-43m'],2,0,[['sd_1233705.cif']],[['MgAgAs']]
48,MnPdAs,['P-62m'],3,3,[['sd_1010170.cif']],[['ZrNiAl']]
49,GdCoGe,['Pnma'],2,0,[['sd_1008059.cif']],[['TiNiSi']]
50,YCoAl,['P63/mmc'],3,3,[['sd_1009347.cif']],[['MgZn2']]
51,SrAlGe,"['P-6m2', 'P6/mmm']",3,5,"[['sd_1715247.cif', 'sd_1223424.cif'], ['sd_1120008.cif']]","[['LiBaSi'], ['LiBaSi']]"
52,TmRhIn,['P-62m'],1,3,[['sd_1907514.cif']],[['ZrNiAl']]
53,LaCO,['C12/m1'],1,0,[['sd_1012015.cif']],[['ThCN']]
54,YBC,['Cmmm'],1,0,[['sd_0303289.cif']],[[None]]
55,MnFeB,['I4/mcm'],2,3,[['sd_0539372.cif']],[['CuAl2']]
56,UFeSi,['Pnma'],3,0,"[['sd_1820183.cif', 'sd_1821897.cif']]",[['TiNiSi']]
57,CaAuBi,"['F-43m', 'P63mc']",3,5,"[['sd_1236127.cif'], ['sd_1236123.cif']]","[['MgAgAs'], ['LiGaGe']]"
58,NbMnGe,['P-62m'],2,3,[['sd_1007342.cif']],[['ZrNiAl']]
