,Unnamed: 0,Composition,Type,Experimental Structure,EP 1 element,EP 1 Ehull (eV/atom),EP 1 band gap (eV),EP 1 Entry id,EP 2 element,EP 2 Ehull (eV/atom),EP 2 band gap (eV),EP 2 Entry id,EP 3 element,EP 3 Ehull (eV/atom),EP 3 band gap (eV),EP 3 Entry id
0,0,LuPtIn,III_IV,MoNiP (P-62m),Lu,0.713,0,906253,In,0.691,0,888418,Pt,0.107,0,567339
1,1,CeRhZn,III_IV,OTHER,Ce,0.828,0,921738,Zn,0.461,,912939,Rh,0.212,0,886082
2,2,TiPtSn,I_II,Half Heusler (F-43m),Ti,0.51,0,993673,Sn,0.651,0,923988,Pt,0,0.849,567297
3,3,BaCuP,III_IV,AsHgK (P63/mmc),Ba,1.14,0,1726799,Cu,0.485,0.519,1726245,P,0.497,0.387,1726522
4,4,CrCoAs,III_IV,MoNiP (P-62m),Cr,0.351,0,835007,Co,0.094,0,861219,As,0.216,0,581672
5,5,PdBiSe,III_IV,OTHER,Bi,0.497,0,1726218,Pd,0.097,0,1726772,Se,0.501,0,1726495
6,6,LiMnSb,III_IV,OTHER,Li,0.38,0,880890,Mn,0.238,0,903866,Sb,0.193,0,916377
7,7,AuCdSb,I_II,Half Heusler (F-43m),Cd,0.23,0,985747,Sb,0.16,0,917717,Au,0,0,947839
8,8,MgCoNi,III_IV,OTHER,Mg,0.952,0,841418,Co,0.574,0,861153,Ni,0.496,0,960480
9,9,LaPdP,III_IV,AsHgK (P63/mmc),La,0.939,0,1726954,P,0.329,0.259,1726677,Pd,0.307,0.779,1726400
10,10,GdPtIn,III_IV,MoNiP (P-62m),Gd,0.76,0,980380,In,0.689,0,887766,Pt,0.149,0,567407
11,11,TiTaCo,III_IV,OTHER,Ta,1.027,0,963552,Ti,1.208,0,994384,Co,0.374,0,860249
12,12,SrHgSn,III_IV,LiGaGe (P63mc),Sr,0.493,0,976123,Sn,0.162,0,923128,Hg,0.064,0,945074
13,13,DyMnGe,III_IV,MgSrSi (Pnma),Dy,1.009,0,927040,Mn,0.522,,903541,Ge,0.369,0,869145
14,14,NbCrP,III_IV,MgSrSi (Pnma),Nb,1.125,0,1726902,Cr,0.706,0,1726348,P,0.513,0,1726625
15,15,WNiP,III_IV,MoNiP (P-62m),Ni,0.859,0,1726415,P,0.279,0,1726692,W,0.641,0,1726969
16,16,GdMgPd,III_IV,MoNiP (P-62m),Gd,0.793,0,979349,Mg,0.686,0,842724,Pd,0.159,,897891
17,17,HfMoP,III_IV,MoNiP (P-62m),Hf,1.597,0,1726758,Mo,1.23,0,1726204,P,0.678,0,1726481
18,18,MgCuSb,I_II,Half Heusler (F-43m),Mg,0.389,0,841682,Cu,0,0,853210,Sb,0.177,0.251,916891
19,19,MoGeAs,III_IV,OTHER,Ge,0.962,0,868340,Mo,0.6,0,884301,As,0.856,0,583073
20,20,EuAuGa,III_IV,OTHER,Eu,0.611,,939149,Ga,0.357,0,951602,Au,0.238,,947270
21,0,ThNiSi,III_IV,OTHER,Th,1.015,0,912618,Si,0.545,0,579027,Ni,0.092,,960430
22,1,NbFeSb,I_II,Half Heusler (F-43m),Nb,0.754,0,918335,Fe,0,0.624,958416,Sb,0.863,0,917665
23,2,LiCaSb,III_IV,MgSrSi (Pnma),Li,0.163,0.923,879833,Ca,0.498,1.149,878299,Sb,0.119,1.662,916243
24,3,LaPtP,III_IV,MgSrSi (Pnma),La,1.073,0,1726790,P,0.503,0,1726513,Pt,0.429,0.271,1726236
25,4,ThPtSi,III_IV,OTHER,Th,0.861,0,912203,Si,0.43,0,581286,Pt,0.147,0.794,567672
26,5,ThAsS,III_IV,OTHER,Th,0.471,0,1726736,As,0.967,0,1726182,S,0.634,0,1726459
27,6,CePtAl,III_IV,MgSrSi (Pnma),Ce,1.015,0,922073,Al,0.671,,941287,Pt,0.317,0,568432
28,7,TiRhSi,III_IV,MgSrSi (Pnma),Ti,0.725,0,994649,Si,0.454,0,581384,Rh,0.274,0,885155
